tarih;TP_DK_USD_A_YTL;TP_DK_USD_S_YTL;TP_DK_EUR_A_YTL;TP_DK_EUR_S_YTL;TP_DK_GBP_A_YTL;TP_DK_GBP_S_YTL;TP_TRY_MT01;TP_TRY_MT02;TP_TRY_MT03;TP_TRY_MT04;TP_TRY_MT05;TP_TRY_MT06;XAU_TRY_GRAM;POLITIKA_FAIZI
2002-01-04;1,43834425;1,4452815;1,28544025;1,29164;2,079996;2,09086825;63,49;65,06;65,3;65,02;57,94;63,89;;
2002-01-11;1,39142;1,3981308;1,2408242;1,2468088;2,0049178;2,0153978;63,23;60,15;64,1;65,72;59,31;62,13;12,49292008;
2002-01-18;1,3636426;1,3702198;1,2108656;1,2167056;1,965611;1,9758854;62,76;60,94;63,78;66,26;56,0;62,22;12,28710547;
2002-01-25;1,335064;1,3415032;1,1775706;1,18325;1,9077046;1,9176766;62,21;59,74;63,65;65,92;55,91;61,42;11,99169091;
2002-02-01;1,3180866;1,324444;1,136321;1,1418016;1,859647;1,8693676;62,12;59,35;63,49;61,45;72,6;61,27;12,0042207;
2002-02-08;1,3120866;1,318415;1,1359574;1,1414362;1,855083;1,86478;62,87;60,12;63,36;61,2;70,97;61,89;13,50570397;
2002-02-15;1,3587122;1,3652654;1,188289;1,1940204;1,9351456;1,945261;62,42;59,38;63,64;60,88;67,93;61,48;12,91784075;
2002-02-22;1,356536;1,36307875;1,1823645;1,18806725;1,93686325;1,9469875;61,39;58,71;63,03;60,48;71,18;60,54;12,93533043;
2002-03-01;1,38541625;1,39209825;1,202192;1,20799025;1,96870025;1,978991;60,75;59,26;63,33;58,93;71,37;60,29;13,27949131;57,0
2002-03-08;1,3742404;1,3808686;1,1946374;1,2003994;1,951795;1,9619974;60,19;55,87;61,8;60,75;64,45;58,86;12,63977666;57,0
2002-03-15;1,3554608;1,3619984;1,1873224;1,1930492;1,9220028;1,9320492;58,22;57,08;61,23;61,48;62,33;57,94;12,54572608;57,0
2002-03-22;1,344876;1,3513624;1,1866372;1,1923606;1,9164654;1,9264832;56,63;55,68;62,27;60,61;65,35;56,58;12,82645997;57,0
2002-03-29;1,3338728;1,3403062;1,1673;1,1729298;1,9000072;1,909939;57,61;55,73;61,52;60,1;66,57;57,33;13,06137663;57,0
2002-04-05;1,3305348;1,336952;1,1670328;1,1726614;1,9056656;1,9156266;55,7;53,77;59,75;58,05;65,46;55,48;12,57862594;54,0
2002-04-12;1,301218;1,307494;1,1432954;1,1488096;1,8655806;1,8753322;55,93;52,41;60,25;55,77;66,21;55,04;12,62790982;54,0
2002-04-19;1,2940266;1,3002678;1,1435206;1,149036;1,8628192;1,8725566;54,61;51,37;60,85;54,3;63,59;53,73;12,64695946;54,0
2002-04-26;1,3231845;1,32956675;1,1792995;1,18498725;1,91603025;1,9260455;53,74;51,26;58,24;55,42;63,16;53,12;13,5028313;54,0
2002-05-03;1,3458008;1,352292;1,2132904;1,2191422;1,9617708;1,9720252;51,11;49,89;56,76;49,47;59,11;51,11;13,70925838;48,0
2002-05-10;1,3671982;1,3737926;1,244539;1,2505416;1,9995926;2,0100448;50,04;49,73;56,56;48,91;64,23;50,3;13,78958381;48,0
2002-05-17;1,383716;1,3903896;1,2589472;1,2650194;2,0150464;2,0255796;49,77;48,25;55,63;51,49;63,08;49,63;14,58897997;48,0
